gene_id	reg_type
Tb927.7.2660	increase
Tb927.8.4540	increase
Tb927.11.11770	increase
Tb927.1.3070	increase
Tb927.11.3100	increase
Tb927.11.12730	increase
Tb927.7.2670	increase
Tb927.10.12780	increase
Tb927.9.9290	increase
Tb927.8.4200	increase
Tb927.10.15310	increase
Tb927.10.12760	increase
Tb927.10.12800	increase
Tb927.7.3220	increase
Tb927.9.10770	increase
Tb927.3.3960	increase
Tb927.11.6870	increase
Tb927.3.5310	increase
Tb927.11.10560	increase
Tb927.4.1910	increase
Tb927.11.6440	increase
Tb927.10.240	increase
Tb927.8.7760	increase
Tb927.7.2440	increase
Tb927.10.5130	increase
Tb927.9.13320	increase
Tb927.4.1540	increase
Tb927.7.4290	increase
Tb927.8.4500	increase
Tb927.10.9250	increase
Tb927.8.4020	increase
Tb927.3.1810	increase
Tb927.9.9450	increase
Tb927.11.16470	increase
Tb927.5.810	increase
Tb927.5.1990	increase
Tb927.9.3000	increase
Tb927.10.11270	increase
Tb927.10.14720	increase
Tb927.6.1870	increase
Tb927.11.3440	increase
Tb927.10.11080	increase
Tb927.11.14800	increase
Tb927.8.1460	increase
Tb927.10.7790	increase
Tb927.9.5260	increase
Tb927.11.15100	increase
Tb927.11.6130	increase
Tb927.6.3290	increase
Tb927.11.7900	increase
Tb927.10.12330	increase
Tb927.11.5840	increase
Tb927.10.2190	increase
Tb927.7.2160	increase
Tb927.2.5000	increase
Tb927.10.11630	increase
Tb927.10.14660	increase
Tb927.5.4320	increase
Tb927.1.4280	increase
Tb927.10.9240	increase
Tb927.7.4520	increase
Tb927.9.3580	increase
Tb927.4.4570	increase
Tb927.11.14880	increase
Tb927.9.8060	increase
Tb927.9.7690	increase
Tb927.10.14150	increase
Tb927.3.5320	increase
Tb927.9.3650	increase
Tb927.10.14950	increase
Tb927.10.13980	increase
Tb927.10.2240	increase
Tb927.9.8740	increase
Tb927.3.2050	increase
Tb927.7.1710	increase
Tb927.11.12670	increase
Tb927.2.5200	increase
Tb927.11.6240	increase
Tb927.4.2020	increase
Tb927.11.2610	increase
Tb927.2.6070	increase
Tb927.11.6170	increase
Tb927.4.3130	increase
Tb927.10.5360	increase
Tb927.3.3490	increase
Tb927.7.4120	increase
Tb927.11.1710	increase
Tb927.5.2620	increase
Tb927.11.11860	increase
Tb927.10.11600	increase
Tb927.10.14810	increase
Tb927.4.640	increase
Tb927.8.6070	increase
Tb927.4.400	increase
Tb927.1.4020	increase
Tb927.11.14750	increase
Tb927.7.1320	increase
Tb927.3.580	increase
Tb927.11.14100	increase
Tb927.6.4440	increase
Tb927.2.5150	increase
Tb927.11.5960	increase
Tb927.3.1080	increase
Tb927.10.13720	increase
Tb927.11.9530	increase
Tb927.11.2250	increase
Tb927.9.8100	increase
Tb927.11.12070	increase
Tb927.8.4650	increase
Tb927.2.4930	increase
Tb927.8.3010	increase
Tb927.10.14110	increase
Tb927.7.5680	increase
Tb927.11.6010	increase
Tb927.9.4080	increase
Tb927.5.1600	increase
Tb927.5.4620	increase
Tb927.10.1860	increase
Tb927.7.880	increase
Tb927.8.3780	increase
Tb927.5.4330	increase
Tb927.11.16610	increase
Tb927.11.7060	increase
