Gene_ID	BSF_half-life
Tb927.9.3280	5.28
Tb927.11.7060	13.72
Tb927.11.12220	10.35
Tb927.4.3930	19.96
Tb927.10.9850	10.74
Tb927.8.5450	13.72
Tb927.10.6500	6.39
Tb927.6.4660	8.41
Tb927.11.15840	27.89
Tb927.9.10340	11.98
Tb927.11.6680	6.87
Tb927.11.1560	17.87
Tb927.8.6060	16.59
Tb927.11.6630	7.47
Tb927.8.2020	11.72
Tb927.5.1280	5.43
Tb927.1.3000	9.13
Tb927.9.6170	62.40
Tb927.11.5090	12.79
Tb927.2.4590	50.07
Tb927.11.2230	17.77
Tb927.9.12320	16.16
Tb927.10.2750	10.95
Tb927.1.870	27.03
Tb927.7.5560	7.82
Tb927.7.4970	9.86
Tb927.7.6940	7.77
Tb927.11.9670	11.81
Tb927.6.4430	22.51
Tb927.11.1670	7.51
Tb927.11.1540	9.44
Tb927.9.2010	23.69
Tb927.7.7040	60.85
Tb927.9.1960	14.64
Tb927.7.1910	11.22
Tb927.9.12910	10.72
Tb927.7.4390	11.78
Tb927.1.4690	18.34
Tb927.10.3560	19.75
Tb927.10.640	7.58
Tb927.10.2880	31.40
Tb927.6.2720	10.56
Tb927.11.3680	18.71
Tb927.6.4710	12.94
Tb927.4.3330	11.18
Tb927.10.6960	25.78
Tb927.11.8220	9.08
Tb927.10.1070	11.57
Tb927.10.4990	12.04
Tb927.7.5580	8.99
Tb927.7.7360	13.58
Tb927.8.6500	21.06
Tb927.4.2260	15.41
Tb927.8.1080	12.13
Tb927.7.3410	37.31
Tb927.8.6340	13.17
Tb927.8.6350	35.19
Tb927.7.7170	12.72
Tb927.10.11440	25.66
Tb927.11.12610	9.11
Tb927.6.1460	30.92
Tb927.11.16720	26.39
Tb927.11.11500	14.17
Tb927.11.16390	13.36
Tb927.10.6330	36.63
Tb927.7.2110	16.25
Tb927.8.1680	22.78
Tb927.7.4860	34.45
Tb927.10.7240	9.56
Tb927.6.3760	6.68
Tb927.11.10000	14.71
Tb927.3.2330	8.98
Tb927.7.4850	10.55
Tb927.6.1210	6.62
Tb927.11.1030	25.49
Tb927.4.5110	21.44
Tb927.8.1150	32.71
Tb927.7.1590	32.38
Tb927.8.4810	10.72
Tb927.10.4310	12.69
Tb927.11.12310	14.19
Tb927.4.3420	14.84
Tb927.7.1210	32.29
Tb927.7.1190	10.56
Tb927.7.1320	66.77
Tb927.2.5980	10.27
Tb927.2.3030	15.56
Tb927.10.2290	8.66
Tb927.9.12730	9.26
Tb927.8.1010	16.80
Tb927.1.4300	32.64
Tb927.7.990	32.19
Tb927.8.4470	9.79
Tb927.7.4590	11.96
Tb927.1.1230	7.02
Tb927.7.740	9.40
Tb927.3.1430	11.97
Tb927.11.5710	7.91
Tb927.10.13830	12.38
Tb927.10.12380	11.54
Tb927.2.5160	55.77
Tb927.7.680	9.66
Tb927.10.9840	15.45
Tb927.8.7010	8.09
Tb927.3.1760	13.54
Tb927.9.10950	14.36
Tb927.10.12640	8.43
Tb927.7.540	6.39
Tb927.11.16740	21.38
Tb927.2.3960	6.05
Tb927.10.5040	8.06
Tb927.11.5220	12.01
Tb927.5.2880	5.74
Tb927.4.3980	14.29
Tb927.8.8310	5.88
Tb927.11.16980	7.79
Tb927.9.8160	12.01
Tb927.9.14180	6.23
Tb927.9.8410	10.63
Tb927.9.14420	10.71
Tb927.2.1560	13.16
Tb927.5.1370	5.17
Tb927.8.6910	4.59
Tb927.8.2000	35.94
Tb927.5.1020	12.42
Tb927.10.16100	38.55
Tb927.10.15590	21.87
Tb927.9.9860	28.39
Tb927.7.1030	13.35
Tb927.3.3330	14.50
Tb927.10.10980	27.14
Tb927.11.2650	44.06
Tb927.7.2070	6.00
Tb927.5.1520	21.77
Tb927.11.12230	9.15
Tb927.10.5660	8.93
Tb927.3.5340	33.88
Tb927.10.2620	11.89
Tb927.11.16050	14.01
Tb927.10.14740	19.22
Tb927.11.15480	31.55
Tb927.8.3580	15.22
Tb927.10.9420	10.13
Tb927.9.9780	12.96
Tb927.3.3100	10.82
Tb927.7.2480	7.29
Tb927.10.4620	18.09
Tb927.8.690	21.23
Tb927.5.580	14.51
Tb927.7.2590	20.79
Tb927.7.570	24.25
Tb927.5.2940	33.11
Tb927.10.4450	18.65
Tb927.4.880	14.21
Tb927.10.5180	7.82
Tb927.7.3630	32.25
Tb927.8.5890	5.53
Tb927.10.7420	22.83
Tb927.6.4820	5.52
Tb927.8.1920	6.78
Tb927.8.5770	5.75
Tb927.3.3490	38.25
Tb927.7.4560	15.10
Tb927.11.11530	14.45
Tb927.11.15600	16.76
Tb927.2.2190	19.21
Tb927.1.2430	60.57
