Gene_ID	PCF_half-life
Tb927.9.3280	12
Tb927.11.7060	33
Tb927.11.12220	16
Tb927.4.3930	53
Tb927.10.9850	6
Tb927.8.5450	29
Tb927.6.4660	9
Tb927.11.15840	71
Tb927.9.10340	31
Tb927.11.6680	25
Tb927.11.1560	45
Tb927.8.6060	135
Tb927.11.6630	30
Tb927.8.2020	21
Tb927.5.1280	14
Tb927.1.3000	13
Tb927.9.6170	165
Tb927.7.1110	75
Tb927.10.3660	106
Tb927.11.5090	32
Tb927.2.4590	33
Tb927.11.2230	29
Tb927.10.2750	12
Tb927.1.870	25
Tb927.7.5560	24
Tb927.7.4970	75
Tb927.7.6940	13
Tb927.11.9670	16
Tb927.6.4430	31
Tb927.11.1670	12
Tb927.11.1540	58
Tb927.9.2010	64
Tb927.10.4000	32
Tb927.7.7040	100
Tb927.7.1910	37
Tb927.9.12910	27
Tb927.7.4390	120
Tb927.1.4690	61
Tb927.10.3560	55
Tb927.5.3960	10
Tb927.10.640	14
Tb927.6.2720	22
Tb927.6.4710	15
Tb927.11.3680	11
Tb927.4.3330	14
Tb927.10.6960	32
Tb927.11.8220	23
Tb927.10.1070	30
Tb927.10.4990	17
Tb927.7.5580	24
Tb927.7.7360	27
Tb927.8.6500	54
Tb927.4.2260	33
Tb927.8.1080	21
Tb927.7.3410	87
Tb927.8.6340	52
Tb927.8.6350	22
Tb927.7.7170	32
Tb927.10.11440	60
Tb927.11.12610	17
Tb927.11.16720	45
Tb927.11.11500	43
Tb927.11.16390	39
Tb927.10.6330	40
Tb927.7.2110	39
Tb927.8.1680	37
Tb927.7.4860	57
Tb927.10.7240	17
Tb927.6.3760	14
Tb927.11.10000	10
Tb927.3.2330	9
Tb927.6.1210	29
Tb927.11.1030	70
Tb927.4.5110	37
Tb927.8.4810	88
Tb927.10.4310	54
Tb927.4.3420	9
Tb927.7.1210	9
Tb927.7.1190	10
Tb927.2.5980	29
Tb927.10.2290	27
Tb927.4.3980	18
Tb927.7.990	23
Tb927.7.740	35
Tb927.11.5220	35
Tb927.10.9840	36
Tb927.7.540	23
Tb927.7.4590	9
Tb927.9.10950	31
Tb927.7.680	38
Tb927.8.4470	15
Tb927.10.12640	11
Tb927.8.1010	7
Tb927.8.1030	15
Tb927.2.5160	136
Tb927.9.8160	59
Tb927.3.1760	37
Tb927.10.12380	22
Tb927.5.2880	10
Tb927.7.6660	37
Tb927.1.1230	5
Tb927.3.1430	8
Tb927.10.5040	15
Tb927.11.16740	19
Tb927.11.16980	15
Tb927.10.13830	31
Tb927.8.8310	17
Tb927.2.3960	9
Tb927.8.7010	11
Tb927.7.6200	11
Tb927.9.14180	10
Tb927.2.1560	75
Tb927.9.14420	14
Tb927.8.5230	15
Tb927.8.6910	8
Tb927.8.2000	72
Tb927.5.1020	18
Tb927.10.16100	176
Tb927.10.15590	31
Tb927.9.9860	45
Tb927.7.1030	17
Tb927.7.2070	18
Tb927.5.1520	87
Tb927.11.12230	18
Tb927.10.5660	14
Tb927.3.5340	139
Tb927.10.2620	62
Tb927.9.10230	171
Tb927.10.14740	14
Tb927.11.15480	76
Tb927.8.3580	20
Tb927.10.9420	8
Tb927.9.9780	27
Tb927.3.3100	58
Tb927.7.2480	11
Tb927.5.580	79
Tb927.7.570	82
Tb927.7.2590	64
Tb927.10.8230	71
Tb927.10.4450	37
Tb927.4.2220	46
Tb927.4.880	9
Tb927.8.5890	21
Tb927.10.7420	41
Tb927.10.7510	11
Tb927.6.4820	11
Tb927.11.14840	67
Tb927.8.1920	12
Tb927.8.5770	9
Tb927.3.3490	118
Tb927.7.4560	10
Tb927.11.11530	14
Tb927.11.15600	9
Tb927.2.2190	41
Tb927.11.7350	57
Tb927.1.570	27
Tb927.10.1440	34
Tb927.10.8150	21
Tb927.11.6780	20
Tb927.11.370	29
Tb927.10.10340	19
Tb927.8.3690	56
Tb927.11.900	46
Tb927.10.3650	38
Tb927.10.11800	9
Tb927.9.8850	33
Tb927.10.15800	8
Tb927.10.2000	12
Tb927.4.980	26
Tb927.9.5440	8
Tb927.9.13100	65
Tb927.11.12360	8
Tb927.4.1170	8
Tb927.10.13190	13
Tb927.9.10670	8
Tb927.8.6070	37
Tb927.4.3440	11
Tb927.10.14890	32
Tb927.4.2080	58
Tb927.10.16110	20
Tb927.10.9870	37
Tb927.10.10090	21
Tb927.5.2950	32
Tb927.3.4230	17
Tb927.2.4810	31
Tb927.3.5180	99
Tb927.8.3100	33
Tb927.2.4060	27
Tb927.11.5000	39
Tb927.11.5510	27
Tb927.5.4440	54
Tb927.10.4690	26
Tb927.10.6670	56
Tb927.11.5680	34
Tb927.10.13110	119
Tb927.10.10320	25
Tb927.10.13370	20
Tb927.11.3660	26
Tb927.9.12820	37
Tb927.11.16810	33
Tb927.9.14480	50
Tb927.11.670	44
Tb927.3.5540	21
Tb927.7.6460	31
Tb927.11.16110	28
Tb927.11.11720	17
Tb927.3.2310	59
Tb927.10.13960	18
Tb927.8.4640	43
Tb927.3.1110	30
Tb927.3.5490	34
Tb927.3.3000	31
Tb927.4.2350	13
Tb927.11.11340	13
Tb927.4.2400	36
Tb927.11.5750	13
Tb927.7.3740	54
Tb927.6.3220	31
Tb927.6.1730	36
Tb927.3.1420	30
Tb927.10.12990	17
Tb927.1.3250	19
Tb927.10.15290	30
Tb927.10.5380	37
Tb927.5.3030	25
Tb927.10.14470	29
Tb927.2.4530	18
Tb927.7.3370	26
Tb927.10.14990	21
Tb927.11.1740	35
Tb927.11.2880	20
Tb927.7.5040	15
Tb927.5.2410	41
Tb927.6.1770	64
Tb927.6.4390	17
Tb927.6.2880	26
Tb927.8.6830	16
Tb927.7.4110	15
Tb927.11.12180	9
Tb927.10.15390	24
Tb927.11.5300	29
Tb927.3.2040	12
Tb927.11.3280	23
Tb927.5.2090	34
Tb927.10.12490	14
Tb927.7.6290	25
Tb927.7.7260	17
Tb927.11.1000	9
Tb927.1.1910	10
Tb927.11.16310	11
Tb927.6.870	18
Tb927.1.3300	10
Tb927.7.4290	39
Tb927.11.16090	35
Tb927.9.9940	31
Tb927.3.4290	47
Tb927.2.3660	33
Tb927.2.2160	104
Tb927.11.4740	12
Tb927.10.15250	70
Tb927.11.11210	30
Tb927.10.8930	46
Tb927.10.10140	46
Tb927.8.3790	30
Tb927.7.1920	34
Tb927.3.3770	32
Tb927.8.4970	68
Tb927.11.260	28
Tb927.11.320	33
Tb927.11.13780	58
Tb927.5.2850	43
Tb927.11.1150	43
Tb927.11.4480	30
Tb927.8.810	26
Tb927.10.14010	45
Tb927.10.14110	14
Tb927.4.3130	15
Tb927.11.3360	24
Tb927.9.10370	15
Tb927.10.650	12
Tb927.11.2440	15
Tb927.8.6240	113
Tb927.9.15470	32
Tb927.11.16150	45
Tb927.8.6200	25
Tb927.9.9580	33
Tb927.10.13870	19
Tb927.6.3570	12
Tb927.1.1550	21
Tb927.2.5250	25
Tb927.1.1540	21
Tb927.4.3390	10
Tb927.10.14520	19
Tb927.1.1150	8
Tb927.4.2480	8
Tb927.6.5110	20
Tb927.10.11100	16
Tb927.7.4080	19
Tb927.6.4780	29
Tb927.11.6750	14
Tb927.7.600	19
Tb927.7.610	64
Tb927.10.11020	31
Tb927.2.1800	36
Tb927.3.1130	7
Tb927.10.1710	11
Tb927.8.3350	14
Tb927.11.5550	14
Tb927.8.3290	12
Tb927.7.2310	12
Tb927.11.5430	17
Tb927.5.3670	26
Tb927.11.750	34
Tb927.11.7860	19
Tb927.2.3930	20
Tb927.11.11540	28
Tb927.9.6940	51
Tb927.9.11930	19
Tb927.11.16270	12
Tb927.2.4390	21
Tb927.11.12090	8
Tb927.10.6860	16
Tb927.10.5510	8
Tb927.3.830	25
Tb927.9.13610	31
Tb927.3.3090	6
Tb927.5.3940	10
Tb927.2.5190	9
Tb927.5.1700	54
Tb927.3.5030	11
Tb927.6.1760	39
Tb927.10.1270	19
Tb927.3.4280	24
Tb927.10.6410	29
Tb927.9.14330	11
Tb927.11.9510	9
Tb927.9.12810	13
Tb927.5.4070	17
Tb927.11.8190	34
Tb927.9.9620	27
Tb927.7.6900	67
Tb927.11.9130	61
Tb927.6.3890	19
Tb927.9.12300	29
Tb927.10.7990	17
Tb927.10.5070	21
Tb927.7.4930	6
Tb927.10.4730	8
Tb927.4.1270	52
Tb927.4.2000	58
Tb927.6.2890	24
Tb927.10.3860	13
Tb927.11.10730	16
Tb927.11.5690	13
Tb927.5.3760	14
Tb927.11.6090	19
Tb927.11.10190	15
Tb927.10.13970	15
Tb927.6.4650	21
Tb927.5.4320	28
Tb927.11.6350	26
Tb927.2.5180	20
Tb927.11.5360	12
Tb927.9.3970	24
Tb927.7.5080	23
Tb927.10.8070	12
Tb927.11.8730	9
Tb927.8.6420	21
Tb927.11.10060	89
Tb927.11.8260	17
Tb927.8.3860	11
Tb927.6.3280	21
Tb927.7.5680	111
Tb927.4.5040	19
Tb927.5.3830	39
Tb927.4.4650	28
Tb927.6.2540	24
Tb927.2.4930	45
Tb927.6.3320	6
Tb927.11.4430	28
Tb927.7.7450	26
Tb927.5.4310	22
Tb927.11.7370	19
