Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
B_pol_1	B_pol_1_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	37198740.0	0.0	100.0	47.0	49.56254273256542	100.0	pass	warn	warn	pass	fail	warn	pass	pass	fail	warn	pass
B_pol_1_2	B_pol_1_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	37198740.0	0.0	100.0	47.0	53.495267765836495	100.0	pass	warn	warn	pass	fail	warn	pass	pass	warn	warn	pass
B_pol_2	B_pol_2_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	40400963.0	0.0	100.0	47.0	49.15932696422852	100.0	pass	warn	warn	pass	fail	warn	pass	pass	fail	fail	pass
B_pol_2_2	B_pol_2_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	40400963.0	0.0	100.0	47.0	53.84007530725069	100.0	pass	warn	warn	pass	fail	warn	pass	pass	warn	warn	pass
B_pol_3	B_pol_3_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	42897109.0	0.0	100.0	47.0	47.665008900373806	100.0	pass	warn	warn	pass	fail	warn	pass	pass	fail	fail	pass
B_pol_3_2	B_pol_3_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	42897109.0	0.0	100.0	47.0	53.42621064709851	100.0	pass	warn	warn	pass	fail	warn	pass	pass	warn	warn	pass
B_sub_1	B_sub_1_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	38641237.0	0.0	100.0	46.0	42.50271973238885	100.0	pass	warn	warn	pass	fail	warn	pass	pass	fail	fail	pass
B_sub_1_2	B_sub_1_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	38641237.0	0.0	100.0	46.0	48.572842757533316	100.0	pass	warn	warn	pass	fail	warn	pass	pass	fail	warn	pass
B_sub_2	B_sub_2_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	33073303.0	0.0	100.0	46.0	47.927891615544155	100.0	pass	warn	warn	pass	fail	warn	pass	pass	fail	warn	pass
B_sub_2_2	B_sub_2_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	33073303.0	0.0	100.0	46.0	51.0116795267334	100.0	pass	warn	warn	pass	fail	warn	pass	pass	warn	warn	pass
B_sub_3	B_sub_3_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	34863120.0	0.0	100.0	46.0	46.46630733685705	100.0	pass	warn	warn	pass	fail	warn	pass	pass	fail	fail	pass
B_sub_3_2	B_sub_3_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	34863120.0	0.0	100.0	46.0	51.40813700764241	100.0	pass	warn	warn	pass	fail	warn	pass	pass	warn	warn	pass
