Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
B_pol_1	50.43745726743458	47.0	100.0	18.181818181818183	37198740.0
B_pol_1_2	46.504732234163505	47.0	100.0	9.090909090909092	37198740.0
B_pol_2	50.84067303577148	47.0	100.0	27.27272727272727	40400963.0
B_pol_2_2	46.15992469274931	47.0	100.0	9.090909090909092	40400963.0
B_pol_3	52.334991099626194	47.0	100.0	27.27272727272727	42897109.0
B_pol_3_2	46.57378935290149	47.0	100.0	9.090909090909092	42897109.0
B_sub_1	57.49728026761115	46.0	100.0	27.27272727272727	38641237.0
B_sub_1_2	51.427157242466684	46.0	100.0	18.181818181818183	38641237.0
B_sub_2	52.072108384455845	46.0	100.0	18.181818181818183	33073303.0
B_sub_2_2	48.9883204732666	46.0	100.0	9.090909090909092	33073303.0
B_sub_3	53.53369266314295	46.0	100.0	27.27272727272727	34863120.0
B_sub_3_2	48.59186299235759	46.0	100.0	9.090909090909092	34863120.0
B_tot_1	50.04503925607827	47.0	100.0	27.27272727272727	40439450.0
B_tot_1_2	44.72453440623724	47.0	100.0	9.090909090909092	40439450.0
B_tot_2	48.99622464902593	47.0	100.0	9.090909090909092	37494626.0
B_tot_2_2	45.613693056374125	47.0	100.0	9.090909090909092	37494626.0
B_tot_3	47.517014930336764	47.0	100.0	18.181818181818183	36045404.0
B_tot_3_2	42.16959391581088	47.0	100.0	9.090909090909092	36045404.0
P_pol_1	50.45519372120467	48.0	100.0	18.181818181818183	31650151.0
P_pol_1_2	44.73820893314772	48.0	100.0	9.090909090909092	31650151.0
P_sub_1	48.04162456898698	48.0	100.0	9.090909090909092	29873194.0
P_sub_1_2	41.342945220426664	48.0	100.0	9.090909090909092	29873194.0
P_sub_2	49.8276696144041	47.0	100.0	9.090909090909092	40065879.0
P_sub_2_2	43.61220734584952	48.0	100.0	9.090909090909092	40065879.0
P_sub_3	50.076269867085124	47.0	100.0	27.27272727272727	34347645.0
P_sub_3_2	45.40835836647995	47.0	100.0	9.090909090909092	34347645.0
P_tot_1	53.46259130440623	48.0	100.0	27.27272727272727	46704727.0
P_tot_1_2	48.70611176028149	48.0	100.0	9.090909090909092	46704727.0
P_tot_2	53.951214887853986	48.0	100.0	27.27272727272727	43314797.0
P_tot_2_2	49.24977162827299	48.0	100.0	9.090909090909092	43314797.0
P_tot_3	47.01262132390854	48.0	100.0	18.181818181818183	32622858.0
P_tot_3_2	42.95401523770814	48.0	100.0	9.090909090909092	32622858.0
