2013Latest_numbers,Annotation,Class,Orthologue count,ORF length,PC RNAs/cell Silicotryp,RPM Ribsome profiling,RPM Ribsome profiling x orthogue count,Ribosomes/cell/gene,Ribosomes/mRNA,Ribosomes/kb,Fraction in polysomes,LOG 2 Ribosomes/kb,Ribosomes/kb on polysomes,
Tb927.9.3280,"acidocalcisomal exopolyphosphatase, putative (3C4.175)",Acidocalcisome,1,1152,4.1,60.00,60,11.8,2.87,2.49,0.595,1.32,4.18487395,
Tb927.11.7060,acidocalcisomal pyrophosphatase (VSP1),Acidocalcisome,2,1245,7.8,160.43,320.86,63.08,8.1,6.5,0.645,2.7,10.07751938,
Tb927.11.12220,"catalytic subunit of the vacuolar transporter chaperone 4, polyphosphate polymerase, Vtc4",Acidocalcisome,1,2382,2.4,168.14,168.14,33.06,13.6,5.71,0.645,2.51,8.852713178,
Tb927.11.6680,"amino acid permease/transporter, putative",Amino.acid.transport,1,1524,1.4,43.97,43.97,8.64,5.98,3.92,0.62,1.97,6.322580645,
Tb927.10.5780,"amino acid tansporter, putative",Amino.acid.transport,2,1731,1.7,35.75,71.5,14.06,8.42,4.86,0.6,2.28,8.1,
Tb927.9.10340,"amino acid transporter, putative",Amino.acid.transport,1,1479,1.3,28.03,28.03,5.51,4.4,2.98,0.57,1.58,5.228070175,
Tb927.10.9850,"amino acid transporter, putative",Amino.acid.transport,1,1689,0.9,19.95,19.95,3.92,4.2,2.48,0.435,1.31,5.701149425,
Tb927.4.3930,"amino acid transporter, putative",Amino.acid.transport,1,1362,5.2,183.83,183.83,36.14,6.94,5.09,0.605,2.35,8.41322314,
Tb927.8.5450,"amino acid transporter, putative (AAT6)",Amino.acid.transport,2,1467,7.7,240.32,480.64,94.5,12.24,8.35,0.635,3.06,13.1496063,
Tb927.8.4700,"amino acid transporter, putative (AATP6)",Amino.acid.transport,7,1377,12.0,95.43,668.01,131.34,10.96,7.96,0.445,2.99,17.88764045,
Tb927.10.6500,"amino acid transporter, putative,amino acid permease, putative",Amino.acid.transport,1,1362,0.8,19.15,19.15,3.77,4.5,3.3,0.365,1.72,9.04109589,
Tb927.6.4660,"cationic amino acid transporter, putative",Amino.acid.transport,1,1620,3.0,17.30,17.3,3.4,1.12,0.69,0.425,-0.54,1.623529412,
Tb927.11.15840,"L-Lysine transport protein, putative",Amino.acid.transport,7,1389,18.0,338.59,2370.13,465.99,25.86,18.61,0.3,4.22,62.03333333,
Tb927.11.1560,"1,2-Dihydroxy-3-keto-5-methylthiopentene dioxygenase, putative",Amino.acids,1,996,8.5,245.76,245.76,48.32,5.71,5.74,0.755,2.52,7.602649007,
Tb927.4.360,"1,2-Dihydroxy-3-keto-5-methylthiopentene dioxygenase, putative",Amino.acids,1,843,9.9,259.49,259.49,51.02,5.16,6.12,0.8,2.61,7.65,
Tb927.8.6060,"2-amino-3-ketobutyrate coenzyme A ligase, putative,glycine acetyltransferase, putative",Amino.acids,1,1215,15.6,1067.13,1067.13,209.81,13.42,11.05,0.785,3.47,14.07643312,
Tb927.11.6630,"3-methylcrotonoyl-CoA carboxylase beta subunit, putative",Amino.acids,1,1839,1.8,84.60,84.6,16.63,9.49,5.16,0.58,2.37,8.896551724,
