2013Latest_numbers,Annotation,Class,Orthologue count,ORF length,BS RNAs/ cell Silicotryp ,Log 2 BS RNAs/ cell Silicotryp ,RPM pA+ fragments BS,BS RNAs/cell pA+ fragments ,Log 2 BS RNAs/cell pA+ fragments ,RPM Ribosome profiling,RPM Ribsome profiling x orthogue count,Ribosomes/cell/gene,Ribosomes/mRNA,Ribosomes/kb BS,Fraction in polysomes,mRNA abundance BS/PC (Silicotryp),"ribosomes/kb, BS/PC"
Tb927.9.3280,"acidocalcisomal exopolyphosphatase, putative (3C4.175)",Acidocalcisome,1,1152,3.1,1.64,145.37,2.91,1.54,89.86,89.86,7.88,2.52,2.19,0.699,1.63,0.88
Tb927.11.7060,acidocalcisomal pyrophosphatase (VSP1),Acidocalcisome,2,1245,5.7,2.52,167.04,6.68,2.74,241.50,483,42.36,7.4,5.94,0.801,1.58,0.914
Tb927.11.12220,"catalytic subunit of the vacuolar transporter chaperone 4, polyphosphate polymerase, Vtc4",Acidocalcisome,1,2382,1.4,0.50,207.23,4.14,2.05,115.48,115.48,10.13,7.18,3.01,0.742,1.25,0.527
Tb927.11.6680,"amino acid permease/transporter, putative",Amino.acid.transport,1,1524,0.7,-0.57,47.19,0.94,-0.08,5.63,5.63,0.49,0.73,0.48,0.673,1,0.122
Tb927.10.5780,"amino acid tansporter, putative",Amino.acid.transport,2,1731,0.7,-0.54,72.19,2.89,1.53,27.38,54.76,4.8,7,4.04,0.731,0.88,0.831
Tb927.10.9850,"amino acid transporter, putative",Amino.acid.transport,1,1689,1.3,0.41,90.39,1.81,0.85,81.66,81.66,7.16,5.4,3.2,0.661,3.04,1.29
Tb927.9.10340,"amino acid transporter, putative",Amino.acid.transport,1,1479,1.0,0.06,59.41,1.19,0.25,13.46,13.46,1.18,1.13,0.76,0.696,1.8,0.255
Tb927.4.3930,"amino acid transporter, putative",Amino.acid.transport,1,1362,2.2,1.12,111.42,2.23,1.16,59.22,59.22,5.19,2.4,1.76,0.7,0.89,0.346
Tb927.8.5450,"amino acid transporter, putative (AAT6)",Amino.acid.transport,2,1467,4.3,2.11,433.59,17.34,4.12,432.85,865.7,75.92,17.56,11.97,0.811,1.2,1.434
Tb927.8.4700,"amino acid transporter, putative (AATP6)",Amino.acid.transport,7,1377,4.5,2.16,45.00,6.30,2.66,12.23,85.61,7.51,1.68,1.22,0.643,0.8,0.153
