Gene ID	source_id	Organism	Genomic Location (Gene)	Product Description	T.brucei RNA Seq data from George Cross - procyclic form - nonunique (Tb PCF BSF RSeq)	T.brucei RNA Seq data from George Cross - blood form - nonunique (Tb PCF BSF RSeq)	sense - PCF mRNA	sense - slBF mRNA	sense - cBF mRNA	sense - PF mRNA	sense - BF mRNA	
Tb04.24M18.150	Tb04.24M18.150:mRNA	T. brucei brucei TREU927	Tb927_04_v5.1:1,458,621..1,459,109(-)	hypothetical protein, conserved	12.62	9.62	10.98	10.93	16.7	16.56	14.39	
Tb04.3I12.100	Tb04.3I12.100:mRNA	T. brucei brucei TREU927	Tb927_04_v5.1:1,312,814..1,313,406(-)	hypothetical protein	4.36	16.45	1.07	13.91	9.91	1.19	14.99	
Tb05.30F7.410	Tb05.30F7.410:mRNA	T. brucei brucei TREU927	Tb927_05_v5.1:288,984..293,087(-)	hypothetical protein	0.1	0.17	0.02	0.08	0.04	0.01	0	
Tb05.5K5.10	Tb05.5K5.10:mRNA	T. brucei brucei TREU927	5K5_v5.1:3..97(-)	conserved hypothetical protein, conserved (fragment)	12.57	6.04	5.21	6.46	8.62	1.31	9.74	
Tb05.5K5.100	Tb05.5K5.100:mRNA	T. brucei brucei TREU927	5K5_v5.1:17,609..18,248(-)	hypothetical protein, conserved	27.05	19.19	25.31	14.1	25.03	16.22	30.96	
Tb05.5K5.110	Tb05.5K5.110:mRNA	T. brucei brucei TREU927	5K5_v5.1:18,623..22,146(-)	major vault protein, putative	14.85	12.74	17.62	10.53	19.27	11.96	21.59	
Tb05.5K5.120	Tb05.5K5.120:mRNA	T. brucei brucei TREU927	5K5_v5.1:21,693..25,373(-)	hypothetical protein, conserved	7.46	7.95	12.77	5.56	13.04	9.39	12.73	
Tb05.5K5.130	Tb05.5K5.130:mRNA	T. brucei brucei TREU927	5K5_v5.1:25,549..27,588(-)	paraflagellar rod component par4, putative	31.22	53.4	19.2	32.79	24.52	11.72	39.03	
Tb05.5K5.140	Tb05.5K5.140:mRNA	T. brucei brucei TREU927	5K5_v5.1:27,867..28,292(-)	Trypanosoma specific protein, unknown function	18.22	13.74	19.86	13.11	28.03	14.04	22.17	
Tb05.5K5.150	Tb05.5K5.150:mRNA	T. brucei brucei TREU927	5K5_v5.1:28,569..29,197(-)	small GTP-binding protein, putative	14.87	42.34	88.64	72.56	109.25	23.37	70.65	
