# Program:featureCounts v1.6.4; Command:"featureCounts" "-p" "-B" "-C" "-M" "-O" "-T" "8" "-t" "CDS" "-g" "gene_id" "-a" "/tmp/1762.1.all.q/genomes/tb927_5/tb927_5.gtf" "-o" "/tmp/1762.1.all.q/B_sub_3/counts_CDS.txt" "/tmp/1762.1.all.q/B_sub_3/B_sub_3_sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	/tmp/1762.1.all.q/B_sub_3/B_sub_3_sorted.bam
Tb10.v4.0073	tryp_X-188b09.p2kB601	929	1489	+	561	2
Tb10.v4.0074	tryp_X-188b09.p2kB601	2775	3452	+	678	1
Tb10.v4.0075	tryp_X-188b09.p2kB601	3781	5223	+	1443	0
Tb10.v4.0076	tryp_X-188b09.p2kB601	6264	7721	+	1458	0
Tb10.v4.0077	tryp_X-188b09.p2kB601	9669	10955	+	1287	0
Tb10.v4.0078	tryp_X-188b09.p2kB601	12874	13425	+	552	2
Tb10.v4.0079	tryp_X-188b09.p2kB601	13974	14324	+	351	0
Tb10.v4.0080	tryp_X-188b09.p2kB601	16622	17287	+	666	0
Tb10.v4.0081	tryp_X-188b09.p2kB601;tryp_X-188b09.p2kB601	19250;20157	20155;20774	+;+	1524	0
Tb10.v4.0082	tryp_X-188b09.p2kB601	20945	21754	-	810	0
Tb10.v4.0083	tryp_X-188b09.p2kB601	22754	23953	+	1200	1
Tb927.8.100	Tb927_08_v5.1	2	1327	+	1326	0
Tb927.8.110	Tb927_08_v5.1	3247	4698	+	1452	0
Tb927.8.120	Tb927_08_v5.1	5498	6343	+	846	2
Tb927.8.130	Tb927_08_v5.1	7309	8886	+	1578	1
Tb927.8.140	Tb927_08_v5.1	10953	11471	+	519	0
Tb927.8.150	Tb927_08_v5.1	18907	20445	+	1539	0
Tb927.8.160	Tb927_08_v5.1	21627	22031	+	405	0
Tb927.8.170	Tb927_08_v5.1	24041	25522	+	1482	0
Tb927.8.180	Tb927_08_v5.1	27357	27734	+	378	0
Tb927.8.190	Tb927_08_v5.1	29452	31044	+	1593	1
Tb927.8.200	Tb927_08_v5.1	32272	33285	+	1014	3
Tb927.8.210	Tb927_08_v5.1	33526	35076	+	1551	0
Tb927.8.220	Tb927_08_v5.1	36916	38436	+	1521	0
Tb927.8.230	Tb927_08_v5.1	39787	40887	+	1101	21
Tb927.8.240	Tb927_08_v5.1	41073	42557	+	1485	0
Tb927.8.250	Tb927_08_v5.1	43850	45373	+	1524	0
Tb927.8.260	Tb927_08_v5.1	46608	48053	+	1446	0
Tb927.8.270	Tb927_08_v5.1	62486	64021	+	1536	8
Tb927.8.280	Tb927_08_v5.1	65838	67268	+	1431	3
Tb927.8.290	Tb927_08_v5.1	69197	70714	+	1518	2
Tb927.8.300	Tb927_08_v5.1	72810	74210	+	1401	0
Tb927.8.310	Tb927_08_v5.1	75869	77278	+	1410	0
Tb927.8.320	Tb927_08_v5.1	84581	86011	+	1431	2
Tb927.8.330	Tb927_08_v5.1	87463	88974	+	1512	0
Tb927.8.340	Tb927_08_v5.1	90925	92415	+	1491	0
Tb927.8.350	Tb927_08_v5.1	94593	96173	+	1581	0
Tb927.8.360	Tb927_08_v5.1	98581	100053	+	1473	0
Tb927.8.370	Tb927_08_v5.1	101223	102323	+	1101	8
Tb927.8.380	Tb927_08_v5.1	102529	104019	+	1491	0
Tb927.8.390	Tb927_08_v5.1	105019	106005	+	987	4
Tb927.8.400	Tb927_08_v5.1	106153	107748	+	1596	2
Tb927.8.410	Tb927_08_v5.1	108919	110448	+	1530	0
Tb927.8.420	Tb927_08_v5.1	112157	113707	+	1551	0
Tb927.8.430	Tb927_08_v5.1	115234	116694	+	1461	0
Tb927.8.440	Tb927_08_v5.1	118408	119910	+	1503	0
Tb927.8.450	Tb927_08_v5.1	124234	125244	+	1011	10
Tb927.8.460	Tb927_08_v5.1	125412	126989	+	1578	0
Tb927.8.470	Tb927_08_v5.1	132810	134249	+	1440	1
Tb927.8.480	Tb927_08_v5.1	135693	136691	-	999	73
Tb927.8.490	Tb927_08_v5.1	138767	139618	-	852	370
Tb927.8.500	Tb927_08_v5.1	139718	140662	-	945	362
Tb927.8.510	Tb927_08_v5.1	141813	142628	-	816	208
Tb927.8.520	Tb927_08_v5.1	142728	143255	-	528	1074
Tb927.8.530	Tb927_08_v5.1	148507	149241	-	735	387
Tb927.8.540	Tb927_08_v5.1	151635	158966	-	7332	1445
Tb927.8.550	Tb927_08_v5.1	159730	160263	-	534	2554
Tb927.8.560	Tb927_08_v5.1	160844	162577	-	1734	1900
Tb927.8.570	Tb927_08_v5.1	163209	164204	-	996	6236
Tb927.8.580	Tb927_08_v5.1	164621	165688	-	1068	2628
Tb927.8.590	Tb927_08_v5.1	166539	168575	-	2037	786
Tb927.8.595	Tb927_08_v5.1	169489	169734	-	246	2884
Tb927.8.600	Tb927_08_v5.1	169984	170895	-	912	2347
Tb927.8.610	Tb927_08_v5.1	172338	174983	-	2646	1514
Tb927.8.620	Tb927_08_v5.1	175388	176569	-	1182	2997
Tb927.8.630	Tb927_08_v5.1	176866	178404	-	1539	1272
Tb927.8.640	Tb927_08_v5.1	178808	179149	-	342	1944
Tb927.8.650	Tb927_08_v5.1	179692	183477	-	3786	1348
Tb927.8.660	Tb927_08_v5.1	184411	185391	-	981	561
Tb927.8.670	Tb927_08_v5.1	187367	188239	-	873	439
Tb927.8.680	Tb927_08_v5.1	188554	189063	-	510	2340
Tb927.8.690	Tb927_08_v5.1	190379	190726	-	348	2021
Tb927.8.700	Tb927_08_v5.1	191287	194265	-	2979	1620
Tb927.8.710	Tb927_08_v5.1	196484	200617	-	4134	443
Tb927.8.720	Tb927_08_v5.1	203348	203830	-	483	2795
Tb927.8.730	Tb927_08_v5.1	204635	205396	-	762	4462
Tb927.8.740	Tb927_08_v5.1;Tb927_08_v5.1	206119;206200	206139;206277	-;-	99	933
Tb927.8.750	Tb927_08_v5.1	207159	208259	-	1101	2571
Tb927.8.760	Tb927_08_v5.1	208921	209907	-	987	6358
Tb927.8.770	Tb927_08_v5.1	211318	213237	-	1920	996
Tb927.8.780	Tb927_08_v5.1	213736	216813	-	3078	3830
Tb927.8.790	Tb927_08_v5.1	217610	221509	-	3900	1284
Tb927.8.800	Tb927_08_v5.1	223044	229637	-	6594	1148
Tb927.8.810	Tb927_08_v5.1	231908	232909	-	1002	2259
Tb927.8.820	Tb927_08_v5.1	233701	235362	-	1662	1717
Tb927.8.830	Tb927_08_v5.1	237154	241713	-	4560	702
Tb927.8.840	Tb927_08_v5.1	242762	246022	-	3261	1160
Tb927.8.850	Tb927_08_v5.1	247305	249641	-	2337	751
Tb927.8.860	Tb927_08_v5.1	251405	252079	-	675	615
Tb927.8.870	Tb927_08_v5.1	257844	258734	-	891	239
Tb927.8.880	Tb927_08_v5.1	261157	263406	-	2250	558
Tb927.8.890	Tb927_08_v5.1	266112	266738	-	627	2114
Tb927.8.900	Tb927_08_v5.1	270276	271262	-	987	507
Tb927.8.910	Tb927_08_v5.1	283743	285140	-	1398	17
Tb927.8.920	Tb927_08_v5.1	285874	286356	-	483	1472
Tb927.8.930	Tb927_08_v5.1	287095	288507	-	1413	3435
Tb927.8.940	Tb927_08_v5.1	288901	295485	-	6585	3222
Tb927.8.950	Tb927_08_v5.1	297522	298934	-	1413	3713
Tb927.8.960	Tb927_08_v5.1	299328	305912	-	6585	2992
Tb927.8.970	Tb927_08_v5.1	307950	309329	-	1380	2346
Tb927.8.980	Tb927_08_v5.1	311464	313272	-	1809	1621
Tb927.8.990	Tb927_08_v5.1	316912	317868	-	957	2375
Tb927.8.1000	Tb927_08_v5.1	319329	320102	-	774	1126
Tb927.8.1010	Tb927_08_v5.1	320857	322329	-	1473	1904
Tb927.8.1020	Tb927_08_v5.1	323522	325630	-	2109	1157
Tb927.8.1030	Tb927_08_v5.1	326869	327750	-	882	1334
Tb927.8.1040	Tb927_08_v5.1	328540	328974	-	435	1360
Tb927.8.1050	Tb927_08_v5.1	330827	338788	-	7962	1537
Tb927.8.1060	Tb927_08_v5.1	339737	341962	-	2226	1175
Tb927.8.1070	Tb927_08_v5.1	342517	345171	-	2655	945
Tb927.8.1080	Tb927_08_v5.1	345870	346460	-	591	1789
Tb927.8.1090	Tb927_08_v5.1	347671	349911	-	2241	981
Tb927.8.1100	Tb927_08_v5.1	351667	354324	-	2658	816
Tb927.8.1110	Tb927_08_v5.1	355680	356252	-	573	11270
Tb927.8.1120	Tb927_08_v5.1	357127	357498	-	372	2338
Tb927.8.1130	Tb927_08_v5.1	359790	364082	-	4293	696
Tb927.8.1140	Tb927_08_v5.1	365167	366222	-	1056	1668
Tb927.8.1150	Tb927_08_v5.1	367460	368488	-	1029	1047
Tb927.8.1160	Tb927_08_v5.1	369465	372773	-	3309	2186
Tb927.8.1170	Tb927_08_v5.1	373426	374421	-	996	2221
Tb927.8.1180	Tb927_08_v5.1	375582	378902	-	3321	1285
Tb927.8.1190	Tb927_08_v5.1	379555	380550	-	996	2132
Tb927.8.1200	Tb927_08_v5.1	381716	384958	-	3243	1410
Tb927.8.1210	Tb927_08_v5.1	385805	387865	-	2061	4447
Tb927.8.1220	Tb927_08_v5.1	388360	389034	-	675	1829
Tb927.8.1230	Tb927_08_v5.1	389676	390227	-	552	3501
Tb927.8.1240	Tb927_08_v5.1	391386	393080	-	1695	657
Tb927.8.1250	Tb927_08_v5.1	394308	396719	-	2412	1399
Tb927.8.1260	Tb927_08_v5.1	397388	400492	-	3105	983
Tb927.8.1270	Tb927_08_v5.1	401510	402970	-	1461	1388
Tb927.8.1280	Tb927_08_v5.1	405197	409378	-	4182	612
Tb927.8.1290	Tb927_08_v5.1	414144	417464	-	3321	132
Tb927.8.1300	Tb927_08_v5.1	419851	422019	-	2169	747
Tb927.8.1305	Tb927_08_v5.1	423631	423732	-	102	724
Tb927.8.1310	Tb927_08_v5.1	424654	425658	-	1005	1346
Tb927.8.1320	Tb927_08_v5.1	426876	427598	-	723	2613
Tb927.8.1330	Tb927_08_v5.1	428242	429072	-	831	18566
Tb927.8.1340	Tb927_08_v5.1	429328	430158	-	831	21619
Tb927.8.1350	Tb927_08_v5.1	430515	431603	-	1089	1504
Tb927.8.1360	Tb927_08_v5.1	432137	444811	-	12675	1362
Tb927.8.1370	Tb927_08_v5.1	445051	445512	-	462	2688
Tb927.8.1380	Tb927_08_v5.1	446031	447095	+	1065	2985
Tb927.8.1390	Tb927_08_v5.1	460827	461729	+	903	462
Tb927.8.1400	Tb927_08_v5.1	462702	463460	+	759	427
Tb927.8.1410	Tb927_08_v5.1	464033	466366	+	2334	1404
Tb927.8.1420	Tb927_08_v5.1	466770	468329	+	1560	3150
Tb927.8.1430	Tb927_08_v5.1	468569	469069	+	501	1173
Tb927.8.1440	Tb927_08_v5.1	469241	469729	+	489	965
Tb927.8.1450	Tb927_08_v5.1	470464	471897	+	1434	1547
Tb927.8.1460	Tb927_08_v5.1	472502	473725	+	1224	1051
Tb927.8.1470	Tb927_08_v5.1	475945	477681	+	1737	1563
