# Program:featureCounts v1.6.4; Command:"featureCounts" "-p" "-B" "-C" "-M" "-O" "-T" "8" "-t" "transcript" "-g" "gene_id" "-a" "/tmp/1702.1.all.q/genomes/tb927_5/tb927_5.gtf" "-o" "/tmp/1702.1.all.q/B_tot_2/counts.txt" "/tmp/1702.1.all.q/B_tot_2/B_tot_2_sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	/tmp/1702.1.all.q/B_tot_2/B_tot_2_sorted.bam
Tb10.v4.0073	tryp_X-188b09.p2kB601	929	1489	+	561	1
Tb10.v4.0074	tryp_X-188b09.p2kB601	2775	3452	+	678	0
Tb10.v4.0075	tryp_X-188b09.p2kB601	3781	5223	+	1443	0
Tb10.v4.0076	tryp_X-188b09.p2kB601	6264	7721	+	1458	0
Tb10.v4.0077	tryp_X-188b09.p2kB601	9669	10955	+	1287	0
Tb10.v4.0078	tryp_X-188b09.p2kB601	12874	13425	+	552	0
Tb10.v4.0079	tryp_X-188b09.p2kB601	13974	14324	+	351	0
Tb10.v4.0080	tryp_X-188b09.p2kB601	16622	17287	+	666	0
Tb10.v4.0081	tryp_X-188b09.p2kB601	19250	20774	+	1525	0
Tb10.v4.0082	tryp_X-188b09.p2kB601	20945	21754	-	810	4
Tb10.v4.0083	tryp_X-188b09.p2kB601	22754	23953	+	1200	0
Tb927.8.100	Tb927_08_v5.1	2	1327	+	1326	0
Tb927.8.110	Tb927_08_v5.1	3244	4698	+	1455	0
Tb927.8.120	Tb927_08_v5.1	5498	6343	+	846	2
Tb927.8.130	Tb927_08_v5.1	7309	10072	+	2764	2
Tb927.8.140	Tb927_08_v5.1	10953	11472	+	520	1
Tb927.8.150	Tb927_08_v5.1	12682	20445	+	7764	31
Tb927.8.160	Tb927_08_v5.1	21627	23681	+	2055	0
Tb927.8.170	Tb927_08_v5.1	24041	25522	+	1482	0
Tb927.8.180	Tb927_08_v5.1	27357	27734	+	378	0
Tb927.8.190	Tb927_08_v5.1	29452	31046	+	1595	0
Tb927.8.200	Tb927_08_v5.1	32272	33285	+	1014	0
Tb927.8.210	Tb927_08_v5.1	33526	35078	+	1553	0
Tb927.8.220	Tb927_08_v5.1	36916	38437	+	1522	0
Tb927.8.230	Tb927_08_v5.1	39787	40888	+	1102	0
Tb927.8.240	Tb927_08_v5.1	41073	42557	+	1485	0
Tb927.8.250	Tb927_08_v5.1	43850	45373	+	1524	0
Tb927.8.260	Tb927_08_v5.1	46530	48055	+	1526	1
Tb927.8.270	Tb927_08_v5.1	51024	64023	+	13000	955
Tb927.8.280	Tb927_08_v5.1	65838	67268	+	1431	0
Tb927.8.290	Tb927_08_v5.1	69197	70716	+	1520	0
Tb927.8.300	Tb927_08_v5.1	72810	74841	+	2032	0
