Gene ID	Genomic Location (Gene)	Product Description	Gene Type	Input ID	
Tb927.1.1000	Tb927_01_v5.1:289,877..291,155(+)	developmentally regulated phosphoprotein	protein coding	Tb927.1.1000	
Tb927.1.1010	Tb927_01_v5.1:291,565..293,744(+)	E3 ubiquitin-protein ligase KCMF1, putative	protein coding	Tb927.1.1010	
Tb927.1.1020	Tb927_01_v5.1:294,104..296,172(+)	leucine-rich repeat-containing protein	protein coding	Tb927.1.1020	
Tb927.1.1030	Tb927_01_v5.1:296,918..298,629(+)	Nucleolar protein 49	protein coding	Tb927.1.1030	
Tb927.1.1050	Tb927_01_v5.1:298,769..303,453(+)	Metallo-dependent phosphatase-like domain-containing protein	protein coding	Tb927.1.1050	
Tb927.1.1060	Tb927_01_v5.1:303,867..305,683(+)	Cell cycle checkpoint protein RAD1-like, putative	protein coding	Tb927.1.1060	
Tb927.1.1080	Tb927_01_v5.1:305,834..307,362(+)	TFIIH basal transcription factor subunit, putative	protein coding	Tb927.1.1080	
Tb927.1.1100	Tb927_01_v5.1:308,515..311,616(+)	Basal body protein	protein coding	Tb927.1.1100	
Tb927.1.1120	Tb927_01_v5.1:312,383..313,566(+)	ribosomal RNA-processing protein 8, putative	protein coding	Tb927.1.1120	
Tb927.1.1130	Tb927_01_v5.1:313,928..315,833(+)	glycerol-3-phosphate dehydrogenase (FAD-dependent), putative	protein coding	Tb927.1.1130	
Tb927.1.1140	Tb927_01_v5.1:316,136..317,263(+)	Transmembrane protein 231, putative	protein coding	Tb927.1.1140	
Tb927.1.1150	Tb927_01_v5.1:317,686..319,537(+)	zeta tubulin	protein coding	Tb927.1.1150	
Tb927.1.1160	Tb927_01_v5.1:319,645..321,248(+)	kinetoplast ribosomal PPR-repeat containing protein 3	protein coding	Tb927.1.1160	
Tb927.1.1170	Tb927_01_v5.1:321,591..321,873(+)	DNA-directed RNA polymerase 2, RPB12 subunit	protein coding	Tb927.1.1170	
Tb927.1.1200	Tb927_01_v5.1:322,959..324,540(+)	Mitochondrial ribosomal protein S15	protein coding	Tb927.1.1200	
Tb927.1.1210	Tb927_01_v5.1:325,360..326,379(+)	conserved protein, unknown function	protein coding	Tb927.1.1210	
Tb927.1.1220	Tb927_01_v5.1:326,506..327,395(+)	RWD domain-containing protein	protein coding	Tb927.1.1220	
Tb927.1.1230	Tb927_01_v5.1:327,626..329,839(+)	chaperone protein DnaJ, putative	protein coding	Tb927.1.1230	
Tb927.1.1240	Tb927_01_v5.1:330,231..332,871(+)	cytidine triphosphate synthase, putative	protein coding	Tb927.1.1240	
Tb927.1.1270	Tb927_01_v5.1:334,682..335,988(+)	homocysteine S-methyltransferase, putative	protein coding	Tb927.1.1270	
Tb927.1.1300	Tb927_01_v5.1:338,011..339,021(+)	hypothetical transmembrane protein, conserved	protein coding	Tb927.1.1300	
Tb927.1.1310	Tb927_01_v5.1:339,514..341,181(+)	transmembrane protein, conserved	protein coding	Tb927.1.1310	
Tb927.1.1330	Tb927_01_v5.1:341,280..342,519(+)	Mitochondrial Editosome-like Complex TUTase	protein coding	Tb927.1.1330	
Tb927.1.1340	Tb927_01_v5.1:342,870..345,206(+)	Quinonprotein alcohol dehydrogenase-like protein, putative	protein coding	Tb927.1.1340	
Tb927.1.1350	Tb927_01_v5.1:345,440..349,875(+)	kinesin heavy chain, putative	protein coding	Tb927.1.1350	
Tb927.1.1370	Tb927_01_v5.1:350,008..353,225(+)	rRNA biogenesis protein, putative	protein coding	Tb927.1.1370	
Tb927.1.1380	Tb927_01_v5.1:352,622..355,913(+)	serine/threonine protein phosphatase 2A regulatory subunit, putative	protein coding	Tb927.1.1380	
Tb927.1.1390	Tb927_01_v5.1:356,851..358,003(+)	hypothetical protein, conserved	protein coding	Tb927.1.1390	
Tb927.1.1400	Tb927_01_v5.1:358,331..358,941(+)	Overproducer of inositol protein 10 homolog, putative	protein coding	Tb927.1.1400	
Tb927.1.1420	Tb927_01_v5.1:360,216..362,252(+)	conserved protein, unknown function	protein coding	Tb927.1.1420	
Tb927.1.1470	Tb927_01_v5.1:366,500..371,255(+)	conserved protein, unknown function	protein coding	Tb927.1.1470	
Tb927.1.1500	Tb927_01_v5.1:374,289..380,825(+)	conserved protein, unknown function	protein coding	Tb927.1.1500	
Tb927.1.1530	Tb927_01_v5.1:385,687..394,564(+)	STE group serine/threonine-protein kinase, putative	protein coding	Tb927.1.1530	
Tb927.1.1540	Tb927_01_v5.1:394,770..397,050(+)	Tubulin/FtsZ family, putative	protein coding	Tb927.1.1540	
Tb927.1.1550	Tb927_01_v5.1:397,182..399,439(+)	tubulin-tyrosine ligase, putative	protein coding	Tb927.1.1550	
Tb927.1.1560	Tb927_01_v5.1:399,582..403,619(+)	vesicular-fusion protein nsf, putative	protein coding	Tb927.1.1560	
Tb927.1.1580	Tb927_01_v5.1:403,754..405,277(+)	electron transport protein SCO1/2, putative	protein coding	Tb927.1.1580	
Tb927.1.1600	Tb927_01_v5.1:405,433..410,249(+)	pseudouridine synthase TruD, putative	protein coding	Tb927.1.1600	
Tb927.1.1610	Tb927_01_v5.1:411,183..412,571(+)	hypothetical protein, conserved	protein coding	Tb927.1.1610	
Tb927.1.1620	Tb927_01_v5.1:412,695..415,370(+)	ATP-dependent DEAD/H RNA helicase, putative	protein coding	Tb927.1.1620	
Tb927.1.1630	Tb927_01_v5.1:415,584..416,167(+)	transcription elongation factor 1 homolog	protein coding	Tb927.1.1630	
Tb927.1.1640	Tb927_01_v5.1:416,749..417,804(+)	hypothetical protein, conserved	protein coding	Tb927.1.1640	
Tb927.1.1660	Tb927_01_v5.1:418,784..419,716(+)	ESCO acetyltransferase domain-containing protein	protein coding	Tb927.1.1660	
Tb927.1.1670	Tb927_01_v5.1:419,908..424,412(+)	ARM-like helical domain-containing protein	protein coding	Tb927.1.1670	
Tb927.1.1680	Tb927_01_v5.1:424,538..425,655(+)	Transcription elongation factor 1 domain-containing protein	protein coding	Tb927.1.1680	
Tb927.1.1690	Tb927_01_v5.1:425,774..428,601(+)	RNA-editing nuclease 1	protein coding	Tb927.1.1690	
