# Program:featureCounts v1.6.4; Command:"featureCounts" "-p" "-B" "-C" "-M" "-T" "8" "-t" "CDS" "-f" "-a" "tb927_3_ks_st_sc_st_tr.gtf" "-o" "DE927/tb927_3_ks_counts_cds.txt" "B_tot_1/res2/B_tot_1/B_tot_1_sorted.bam" "B_tot_2/res2/B_tot_2/B_tot_2_sorted.bam" "B_tot_3/res2/B_tot_3/B_tot_3_sorted.bam" "B_pol_1/res2/B_pol_1/B_pol_1_sorted.bam" "B_pol_2/res2/B_pol_2/B_pol_2_sorted.bam" "B_pol_3/res2/B_pol_3/B_pol_3_sorted.bam" "B_sub_1/res2/B_sub_1/B_sub_1_sorted.bam" "B_sub_2/res2/B_sub_2/B_sub_2_sorted.bam" "B_sub_3/res2/B_sub_3/B_sub_3_sorted.bam" "P_tot_1/res2/P_tot_1/P_tot_1_sorted.bam" "P_tot_2/res2/P_tot_2/P_tot_2_sorted.bam" "P_tot_3/res2/P_tot_3/P_tot_3_sorted.bam" "P_pol_1/res2/P_pol_1/P_pol_1_sorted.bam" "P_pol_2/res2/P_pol_2/P_pol_2_sorted.bam" "P_pol_3/res2/P_pol_3/P_pol_3_sorted.bam" "P_sub_1/res2/P_sub_1/P_sub_1_sorted.bam" "P_sub_2/res2/P_sub_2/P_sub_2_sorted.bam" "P_sub_3/res2/P_sub_3/P_sub_3_sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	B_tot_1/res2/B_tot_1/B_tot_1_sorted.bam	B_tot_2/res2/B_tot_2/B_tot_2_sorted.bam	B_tot_3/res2/B_tot_3/B_tot_3_sorted.bam	B_pol_1/res2/B_pol_1/B_pol_1_sorted.bam	B_pol_2/res2/B_pol_2/B_pol_2_sorted.bam	B_pol_3/res2/B_pol_3/B_pol_3_sorted.bam	B_sub_1/res2/B_sub_1/B_sub_1_sorted.bam	B_sub_2/res2/B_sub_2/B_sub_2_sorted.bam	B_sub_3/res2/B_sub_3/B_sub_3_sorted.bam	P_tot_1/res2/P_tot_1/P_tot_1_sorted.bam	P_tot_2/res2/P_tot_2/P_tot_2_sorted.bam	P_tot_3/res2/P_tot_3/P_tot_3_sorted.bam	P_pol_1/res2/P_pol_1/P_pol_1_sorted.bam	P_pol_2/res2/P_pol_2/P_pol_2_sorted.bam	P_pol_3/res2/P_pol_3/P_pol_3_sorted.bam	P_sub_1/res2/P_sub_1/P_sub_1_sorted.bam	P_sub_2/res2/P_sub_2/P_sub_2_sorted.bam	P_sub_3/res2/P_sub_3/P_sub_3_sorted.bam
Tb10.v4.0073	tryp_X-188b09.p2kB601	929	1489	+	561	1	1	0	0	0	0	1	0	2	0	1	2	0	0	0	0	0	0
Tb10.v4.0074	tryp_X-188b09.p2kB601	2775	3452	+	678	0	1	1	1	0	0	1	2	1	0	0	0	0	0	0	0	0	0
Tb10.v4.0075	tryp_X-188b09.p2kB601	3781	5223	+	1443	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Tb10.v4.0076	tryp_X-188b09.p2kB601	6264	7721	+	1458	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tb10.v4.0077	tryp_X-188b09.p2kB601	9669	10955	+	1287	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Tb10.v4.0078	tryp_X-188b09.p2kB601	12874	13425	+	552	1	0	1	1	0	8	1	5	2	0	0	0	0	0	0	0	0	0
Tb10.v4.0079	tryp_X-188b09.p2kB601	13974	14324	+	351	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0
Tb10.v4.0080	tryp_X-188b09.p2kB601	16622	17287	+	666	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tb10.v4.0081	tryp_X-188b09.p2kB601	19250	20155	+	906	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Tb10.v4.0081	tryp_X-188b09.p2kB601	20157	20774	+	618	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Tb10.v4.0082	tryp_X-188b09.p2kB601	20945	21754	-	810	0	4	5	5	4	2	2	1	0	0	0	0	0	0	0	0	1	1
Tb10.v4.0083	tryp_X-188b09.p2kB601	22754	23953	+	1200	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0
Tb927.8.100	Tb927_08_v5.1	2	1327	+	1326	0	3	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Tb927.8.110	Tb927_08_v5.1	3247	4698	+	1452	2	1	0	1	0	1	4	0	1	1	0	0	0	0	0	0	1	0
Tb927.8.120	Tb927_08_v5.1	5498	6343	+	846	3	5	5	2	2	1	8	4	4	0	0	0	0	0	0	1	0	1
Tb927.8.130	Tb927_08_v5.1	7309	8886	+	1578	7	6	5	1	1	6	11	7	18	5	8	4	3	3	3	11	8	13
Tb927.8.140	Tb927_08_v5.1	10953	11471	+	519	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Tb927.8.150	Tb927_08_v5.1	18907	20445	+	1539	0	0	1	1	0	0	0	0	0	1	1	1	0	0	0	0	0	0
Tb927.8.160	Tb927_08_v5.1	21627	22031	+	405	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tb927.8.170	Tb927_08_v5.1	24041	25522	+	1482	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
Tb927.8.180	Tb927_08_v5.1	27357	27734	+	378	0	0	0	0	1	1	0	2	0	0	0	0	0	0	0	0	0	0
Tb927.8.190	Tb927_08_v5.1	29452	31044	+	1593	0	0	0	0	0	0	1	1	1	0	0	1	0	0	0	1	0	0
Tb927.8.200	Tb927_08_v5.1	32272	33285	+	1014	2	0	0	1	1	0	3	1	3	0	0	0	0	0	0	0	0	0
Tb927.8.210	Tb927_08_v5.1	33526	35076	+	1551	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0
Tb927.8.220	Tb927_08_v5.1	36916	38436	+	1521	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1
Tb927.8.230	Tb927_08_v5.1	39787	40887	+	1101	7	2	6	2	5	4	18	15	24	1	0	0	0	0	1	0	0	0
